Quelle peine est supprimée sous la IIème République pour les délits politiques?,Les travaux forcés,L'exil,La peine de mort,La prison à vie,c,Elle supprime la peine de mort pour les délits politiques,fr,Principes et valeurs de la République,CSP
Que se passe-t-il dans les colonies françaises grâce au décret du 27 avril 1848?,La citoyenneté est retirée aux habitants,L'esclavage est définitivement aboli,L'indépendance est déclarée,Le travail forcé est instauré,b,C’est aussi à cette époque que l’esclavage est définitivement aboli dans les colonies françaises,fr,"Histoire, géographie et culture",CR
Qui a rédigé le décret du 27 avril 1848 abolissant l'esclavage?,Victor Hugo,Victor Schœlcher,Louis-Napoléon Bonaparte,La Fayette,b,...grâce au décret du 27 avril 1848 rédigé par Victor Schœlcher,fr,"Histoire, géographie et culture",Naturalisation
Quel était le poste de Victor Schœlcher lors de la rédaction de ce décret?,Ministre de la Justice,Président de la République,Sous-secrétaire d'État chargé des colonies,Député de Paris,c,"...Victor Schœlcher, sous-secrétaire d’État chargé des colonies.",fr,"Histoire, géographie et culture",CSP
Le portrait de Louis-Napoléon Bonaparte mentionné a été réalisé par :,Marie-Guillemine Benoist,Hyacinthe Rigaud,François Gérard,Lafosse,d,"...Louis-Napoléon Bonaparte par Lafosse, d’après nature.",fr,"Histoire, géographie et culture",CR
Le Consulat est une période de l'histoire qui a :,Vu le retour des rois Bourbons,Instauré la IIème République,Précédé la Révolution française,Suivi le coup d'État de Napoléon Bonaparte,d,"Le Consulat est le régime établi le 13 décembre 1799, après le coup d’État de Napoléon Bonaparte.",fr,"Histoire, géographie et culture",Naturalisation
"Sous l'Empire, l'égalité devant la loi est :",Supprimée,Réservée à la noblesse,Soumise au bon vouloir de l'Empereur,Garantie par le Code civil de 1804,d,"Le citoyen conserve l’égalité devant la loi, garantie par le Code civil de 1804.",fr,Droits et devoirs,CSP
La création du préfet date de quelle période?,Le Consulat (1800),Le 1er Empire (1804),La IIème République (1848),La Restauration (1815),a,"En 1800 [sous le Consulat], une nouvelle fonction administrative est ainsi créée : le préfet",fr,Système institutionnel et politique,CR
La Charte constitutionnelle de 1814 a été mise en place par :,Napoléon 1er,Charles X,Louis-Philippe,Louis XVIII,d,"Le roi Louis XVIII rétablit la monarchie, mais conserve la Charte constitutionnelle [de 1814]",fr,"Histoire, géographie et culture",Naturalisation
La Monarchie de Juillet prend fin suite à :,Une défaite militaire,La mort naturelle du roi,Un coup d'État de l'armée,Une révolution en février 1848,d,Une nouvelle révolution met fin au régime le 24 février 1848 [fin de la Monarchie de Juillet].,fr,"Histoire, géographie et culture",CSP
Le suffrage universel masculin à partir de 21 ans est un apport de quel régime?,La IIème République,Le 1er Empire,La Restauration,Le Consulat,a,La IIème République instaure le suffrage universel masculin [pour tous les hommes d'au moins 21 ans].,fr,Système institutionnel et politique,CR
"Sous la Monarchie de Juillet, qui possède le pouvoir législatif?",Le roi le partage avec la Chambre des pairs et la Chambre des députés,Le roi seul,Le Parlement seul (Chambre des pairs et des députés),Les préfets des départements,a,...mais partage désormais le pouvoir législatif avec la Chambre des pairs et la Chambre des députés.,fr,Système institutionnel et politique,Naturalisation
Quel régime politique de cette période est marqué par de nombreuses guerres en Europe?,La Restauration,Le Consulat,La Monarchie de Juillet,Le 1er Empire,d,"Pendant cette période [1er Empire], Napoléon 1er mène plusieurs guerres en Europe",fr,"Histoire, géographie et culture",CSP
Le baccalauréat a été créé sous :,La Restauration,Le Consulat,La IIème République,Le 1er Empire,d,"Il [le 1er Empire] crée aussi des institutions, comme le lycée et le baccalauréat",fr,Vivre dans la société française,CR
La monarchie libérale de Louis-Philippe s'est appuyée principalement sur :,Les ouvriers des Ateliers nationaux,L'Église catholique,L'armée,La bourgeoisie,d,Mais le pouvoir s’appuie surtout sur la bourgeoisie,fr,"Histoire, géographie et culture",Naturalisation
question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,language,category,exam_category
Quel événement marque le début du Second Empire?,L'élection de Jules Ferry,La guerre contre la Prusse,La Révolution française,Le coup d'État de Louis-Napoléon Bonaparte,d,Louis-Napoléon Bonaparte organise un coup d'État en décembre 1851 et devient empereur.,fr,"Histoire, géographie et culture",Naturalisation
Sous quel nom règne Louis-Napoléon Bonaparte durant le Second Empire?,Napoléon III,Napoléon IV,Napoléon Ier,Napoléon II,a,Il devient empereur des Français sous le nom de Napoléon III le 2 décembre 1852.,fr,"Histoire, géographie et culture",CSP
Quelle est la nature du régime du Second Empire au début?,Une république,Un régime démocratique,Un régime parlementaire,Un régime autoritaire,d,Le Second Empire est d'abord un régime autoritaire avant de se libéraliser.,fr,Système institutionnel et politique,CR
Comment évolue le Second Empire dans les années 1860?,Il se libéralise,Il devient une monarchie constitutionnelle,Il devient plus autoritaire,Il abolit le Parlement,a,"Le régime se libéralise dans les années 1860, avec des libertés plus importantes.",fr,Système institutionnel et politique,Naturalisation
Quel événement met fin au Second Empire?,Une révolution populaire,La mort de Napoléon III,Un coup d'État militaire,La défaite contre la Prusse,d,"Le Second Empire s'achève le 4 septembre 1870, après la défaite contre la Prusse.",fr,"Histoire, géographie et culture",CSP
Quelle est la date de la fin du Second Empire?,4 septembre 1870,10-juil-40,2 décembre 1852,18 mai 1804,a,Le Second Empire s'achève le 4 septembre 1870.,fr,"Histoire, géographie et culture",CR
Quel lien de parenté unit Napoléon III à Napoléon Ier?,C'est son petit-fils,C'est son neveu,C'est son frère,C'est son fils,b,Louis-Napoléon Bonaparte (Napoléon III) est le neveu de Napoléon Ier.,fr,"Histoire, géographie et culture",Naturalisation
Quel type de suffrage est maintenu sous le Second Empire?,Le suffrage universel mixte,Le suffrage universel masculin,Le suffrage censitaire,Le suffrage indirect,b,"Le suffrage universel masculin est maintenu, bien que les élections soient contrôlées.",fr,Droits et devoirs,CSP
Comment sont les élections sous le Second Empire?,Inexistantes,Réservées aux femmes,Libres et transparentes,Contrôlées et encadrées,d,Les élections sont contrôlées et encadrées pour protéger le pouvoir en place.,fr,Système institutionnel et politique,CR
Quel droit important est partiellement autorisé en 1864?,Le droit de grève,Le droit de vote des femmes,La liberté de la presse totale,Le droit au logement,a,"En 1864, le droit de grève est partiellement autorisé.",fr,Droits et devoirs,Naturalisation
Quelle évolution politique marque la fin du Second Empire en 1870?,Le retour à la monarchie absolue,L'instauration d'un régime de type parlementaire,La suppression du Parlement,L'abolition des ministres,b,"En 1870, une réforme constitutionnelle instaure un régime de type parlementaire.",fr,Système institutionnel et politique,CSP
Qui a peint le portrait officiel de Napoléon III mentionné?,Franz Xaver Winterhalter,Gustave Courbet,Jacques-Louis David,Eugène Delacroix,a,Le portrait est d'après Franz Xaver Winterhalter (1853).,fr,"Histoire, géographie et culture",CR
Quel régime succède au Second Empire?,La IIIème République,Le Régime de Vichy,La IIème République,La Restauration,a,"Après la chute du 2nd Empire, la IIIème République ancre le régime républicain.",fr,"Histoire, géographie et culture",Naturalisation
Qui proclame la IIIème République le 4 septembre 1870?,Léon Gambetta,Adolphe Thiers,Le Maréchal Pétain,Jules Ferry,a,Elle est proclamée le 4 septembre 1870 par Léon Gambetta.,fr,"Histoire, géographie et culture",CSP
Qu'est-ce que la Commune de Paris en 1871?,Une fête nationale,Un traité de paix,Un mouvement d'insurrection républicain,Une réforme de l'école,c,La Commune de Paris est un mouvement d'insurrection parisien et républicain.,fr,"Histoire, géographie et culture",CR
Contre qui la Commune de Paris s'oppose-t-elle?,Contre la nouvelle Assemblée monarchiste,Contre les instituteurs,Contre les Prussiens,Contre Napoléon III,a,Elle se forme en opposition à la nouvelle Assemblée monarchiste.,fr,"Histoire, géographie et culture",Naturalisation
Qui dirige le gouvernement qui réprime la Commune de Paris?,Léon Gambetta,Jules Ferry,Philippe Pétain,Adolphe Thiers,d,Le Gouvernement d'Adolphe Thiers réprime violemment le mouvement.,fr,"Histoire, géographie et culture",CSP
Quelles lois permettent d'installer durablement la République?,Les lois de 1905,Les lois de Jules Ferry,Les lois de Vichy,Les lois constitutionnelles de 1875,d,La République s'installe durablement avec les lois constitutionnelles de 1875.,fr,Système institutionnel et politique,CR
Quand la IIIème République prend-elle fin?,En 1918,En 1940,En 1944,En 1914,b,"Elle s'achève le 10 juillet 1940, pendant la guerre.",fr,"Histoire, géographie et culture",Naturalisation
Combien de présidents ont incarné la IIIème République?,16 présidents,10 présidents,3 présidents,1 seul,a,La IIIème République est incarnée par 16 présidents.,fr,Système institutionnel et politique,CSP
Quelle liberté est affirmée sous la IIIème République concernant les réunions?,La liberté de réunion privée uniquement,L'interdiction de réunion,La réunion sur autorisation préfectorale,La liberté de réunion publique sans autorisation,d,La IIIème République affirme la liberté de réunion publique sans autorisation.,fr,Droits et devoirs,CR
Quelle liberté syndicale est reconnue sous la IIIème République?,Le syndicalisme obligatoire,L'interdiction des syndicats,La liberté de syndicat pour tous,La liberté de syndicat sauf dans la fonction publique,d,"La liberté de syndicat est reconnue, sauf dans la fonction publique.",fr,Droits et devoirs,Naturalisation
Que permet la loi du 5 avril 1884 aux citoyens masculins?,D'élire les sénateurs,D'élire le conseil municipal,De devenir juges,D'élire le président,b,Les citoyens masculins peuvent élire le conseil municipal de leur commune.,fr,Droits et devoirs,CSP
Comment est composé le Parlement sous la IIIème République?,De conseillers du roi,D'une seule chambre,De trois chambres,De deux chambres (députés et sénateurs),d,Un Parlement composé de deux chambres (les députés et les sénateurs).,fr,Système institutionnel et politique,CR
Devant qui le Gouvernement est-il responsable sous la IIIème République?,Devant le Président,Devant le Peuple,Devant le Parlement,Devant le Roi,c,Le Gouvernement est responsable devant ce parlement.,fr,Système institutionnel et politique,Naturalisation
"Qui est à l'origine des lois sur l'école publique gratuite, laïque et obligatoire?",Napoléon III,Jules Ferry,Léon Gambetta,Adolphe Thiers,b,Grâce aux lois de Jules Ferry.,fr,"Histoire, géographie et culture",CSP
En quelle année l'école devient-elle gratuite?,1905,1875,1881,1870,c,Elle généralise l'école publique gratuite en 1881.,fr,"Histoire, géographie et culture",CR
En quelle année l'école devient-elle laïque et obligatoire?,1905,1882,1881,1880,b,Et l'école laïque et obligatoire en 1882.,fr,"Histoire, géographie et culture",Naturalisation
Quelle loi importante est votée en 1905?,La loi sur le suffrage universel,La loi sur l'école gratuite,La loi sur la séparation des Églises et de l'État,La loi sur le droit de grève,c,Elle instaure la loi de 1905 sur la séparation des Églises et de l'État.,fr,Principes et valeurs de la République,CSP
Quel principe la loi de 1905 fonde-t-elle?,La censure,La monarchie,La laïcité,La dictature,c,La loi de 1905 fonde la laïcité.,fr,Principes et valeurs de la République,CR
Quel régime succède à la IIIème République?,Le Second Empire,Le 1er Empire,Le régime de Vichy,La IVème République,c,Elle s'achève lorsque le régime de Vichy s'installe.,fr,"Histoire, géographie et culture",Naturalisation
Qui dirige le régime de Vichy?,Philippe Pétain,Charles de Gaulle,Léon Blum,Adolphe Thiers,a,Le régime dirigé par le maréchal Pétain à partir du 10 juillet 1940.,fr,"Histoire, géographie et culture",CSP
Quelle est la capitale du régime dirigé par Pétain?,Paris,Vichy,Bordeaux,Lyon,b,"Installé à Vichy, le gouvernement abolit la République.",fr,"Histoire, géographie et culture",CR
Quelle est la nature du régime de Vichy?,Autoritaire et collaborationniste,Monarchique et parlementaire,Démocratique et républicain,Libéral et social,a,Il instaure un régime autoritaire et collaborationniste avec l'occupant nazi.,fr,Système institutionnel et politique,Naturalisation
Avec qui le régime de Vichy collabore-t-il?,Avec l'occupant nazi,Avec les Alliés,Avec la Résistance,Avec l'Union Soviétique,a,Collaborationniste avec l'occupant nazi.,fr,"Histoire, géographie et culture",CSP
Quel sort est réservé aux opposants et minorités sous Vichy?,Ils sont ignorés,Ils sont protégés,Ils sont élus,Ils sont persécutés,d,"Le régime de Vichy persécute les opposants et les minorités, en particulier les Juifs.",fr,Droits et devoirs,CR
Quand le régime de Vichy prend-il fin?,10-juil-40,08-mai-45,22-août-44,11-nov-18,c,Il prend fin le 22 août 1944 avec la Libération.,fr,"Histoire, géographie et culture",Naturalisation
Quel était le rôle de Philippe Pétain avant 1940?,Héros de la Première Guerre mondiale,Empereur,Chef de la Résistance,Instituteur,a,"Maréchal Philippe Pétain, héros de la Première Guerre mondiale.",fr,"Histoire, géographie et culture",CSP
Qu'advient-il des libertés fondamentales sous le régime de Vichy?,Elles sont maintenues,Elles sont renforcées,Elles sont supprimées,Elles sont étendues aux femmes,c,Les libertés et droits fondamentaux sont supprimés.,fr,Droits et devoirs,CR
Quelle liberté est citée comme supprimée sous Vichy?,La liberté d'expression,La liberté de penser,La liberté de cuisiner,La liberté de rêver,a,"Liberté d'expression, de réunion, de la presse, droit de vote sont supprimés.",fr,Droits et devoirs,Naturalisation
Quel type de société le régime de Vichy impose-t-il?,Une société libertaire,Une société communiste,Une société hiérarchisée,Une société égalitaire,c,"Le régime impose une société hiérarchisée, fondée sur des valeurs conservatrices.",fr,Vivre dans la société française,CSP
Quel héritage positif le régime de Vichy a-t-il laissé?,Le droit de vote des femmes,Aucun apport positif,La sécurité sociale,L'école gratuite,b,Le régime de Vichy n'a pas laissé d'apports positifs au système actuel.,fr,Système institutionnel et politique,CR
Que provoque la fin du régime de Vichy concernant les droits?,Un retour à la monarchie,Un renforcement de la défense des droits et libertés,Une dictature militaire,L'abolition de la République,b,Cela conduit à renforcer la défense des droits et libertés fondamentales.,fr,Principes et valeurs de la République,Naturalisation
"Sous le Second Empire, l'économie française :",Stagne,Se modernise,S'effondre,Se ferme à l'Europe,b,"Pendant cette période, l'économie se modernise.",fr,"Histoire, géographie et culture",CSP
Le Second Empire permet à la France de s'ouvrir à :,L'Asie,L'Amérique,L'Afrique,L'Europe,d,La France s'ouvre à l'Europe.,fr,"Histoire, géographie et culture",CR
Quelle défaite militaire précipite la chute de Napoléon III?,La défaite de Trafalgar,La défaite contre la Prusse,La défaite d'Austerlitz,La défaite de Waterloo,b,Après la défaite des troupes françaises contre la Prusse.,fr,"Histoire, géographie et culture",Naturalisation
"Durant le Second Empire, les ministres sont nommés par :",Le Parlement,L'empereur,Le peuple,Le Premier ministre,b,L'empereur peut toujours nommer et révoquer les ministres.,fr,Système institutionnel et politique,CSP
La IIIème République naît dans un climat de tensions entre :,Républicains et monarchistes,Ouvriers et patrons,Parisiens et provinciaux,Catholiques et protestants,a,Elle naît dans un climat de tensions entre républicains et monarchistes.,fr,"Histoire, géographie et culture",CR
En quelle année la Commune de Paris a-t-elle lieu?,1871,1881,1875,1870,a,"En 1871, la Commune de Paris se forme.",fr,"Histoire, géographie et culture",Naturalisation
Pourquoi les royalistes échouent-ils à restaurer la monarchie après 1870?,Ils sont trop peu nombreux,Ils sont divisés,Napoléon III revient,Le peuple vote contre,b,"Les royalistes, divisés, échouent à restaurer la monarchie.",fr,Système institutionnel et politique,CSP
Le mandat des 16 présidents de la IIIème République reflète :,La dictature présidentielle,La diversité et la continuité du régime,La monarchie cachée,L'instabilité du régime,b,Ils reflètent la diversité et la continuité du régime à travers plusieurs décennies.,fr,Système institutionnel et politique,CR
La liberté de réunion publique sous la IIIème République nécessite-t-elle une autorisation?,"Oui, de la police","Oui, du maire","Oui, du préfet","Non, sans autorisation",d,Liberté de réunion publique sans autorisation.,fr,Droits et devoirs,Naturalisation
Dans quel secteur la liberté syndicale n'est-elle pas appliquée sous la IIIème République?,Dans la fonction publique,Dans le commerce,Dans l'industrie,Dans l'agriculture,a,Liberté de syndicat (sauf dans la fonction publique).,fr,Droits et devoirs,CSP
Quelle loi permet aux citoyens d'élire le conseil municipal?,La loi de 1881,La loi du 5 avril 1884,La loi de 1875,La loi de 1905,b,Avec la loi du 5 avril 1884 sur l'organisation municipale,fr,Vivre dans la société française,CR
Quel type de démocratie la IIIème République établit-elle?,Une démocratie directe,Une démocratie parlementaire stable,Une démocratie populaire,Une démocratie autoritaire,b,La IIIème République établit une démocratie parlementaire stable.,fr,Système institutionnel et politique,Naturalisation
Qui incarne l'autorité de l'État sous le régime de Vichy?,Le Maréchal Pétain (Chef de l'État),L'Empereur,Le Président de la République,Le Premier Consul,a,Le maréchal Philippe Pétain devient chef de l'État français.,fr,Système institutionnel et politique,CSP
Quelle communauté est particulièrement persécutée sous Vichy?,Les Juifs,Les francs-maçons,Les protestants,Les communistes,a,"Persécute les opposants et les minorités, en particulier les Juifs.",fr,"Histoire, géographie et culture",CR
Quelle valeur n'est PAS une valeur du régime de Vichy?,Conservatrice,Démocratique,Hiérarchisée,Autoritaire,b,Il marque une rupture avec les valeurs démocratiques.,fr,Principes et valeurs de la République,Naturalisation
La Libération marque la fin de quel régime?,La IVème République,Le Second Empire,Le régime de Vichy,La IIIème République,c,Il [le régime de Vichy] prend fin le 22 août 1944 avec la Libération.,fr,"Histoire, géographie et culture",CSP
Le suffrage universel masculin sous le Second Empire servait à :,Donner le pouvoir aux femmes,Renverser l'Empereur,Protéger le pouvoir en place,Élire le Roi,c,Les élections sont contrôlées et encadrées pour protéger le pouvoir en place.,fr,Système institutionnel et politique,CR
Qui peut révoquer les ministres sous le Second Empire?,L'Assemblée,Le Conseil d'État,L'empereur,Le peuple,c,L'empereur peut toujours nommer et révoquer les ministres.,fr,Système institutionnel et politique,Naturalisation
Léon Gambetta est associé à quel événement majeur?,La loi de 1905,La collaboration,La proclamation de la IIIème République,Le coup d'État de 1851,c,Elle est proclamée le 4 septembre 1870 par Léon Gambetta.,fr,"Histoire, géographie et culture",CSP
Quelle assemblée est majoritaire juste après la chute du Second Empire?,Une Assemblée communiste,Une Assemblée impériale,Une Assemblée monarchiste,Une Assemblée républicaine,c,En opposition à la nouvelle Assemblée monarchiste.,fr,Système institutionnel et politique,CR
Le système éducatif actuel doit beaucoup aux lois de :,Napoléon III,Jules Ferry,Adolphe Thiers,Philippe Pétain,b,"Grâce aux lois de Jules Ferry [école gratuite, laïque, obligatoire].",fr,Vivre dans la société française,Naturalisation
La laïcité en France est fondée par la loi de séparation de :,1881,1882,1905,1901,c,"Elle instaure la loi de 1905 sur la séparation des Églises et de l'État, qui fonde la laïcité.",fr,Principes et valeurs de la République,CSP
La défaite face à quel pays entraîne la fin de la IIIème République?,L'Allemagne,L'Italie,L'Espagne,L'Angleterre,a,Après la défaite de la France face à l'Allemagne [en 1940].,fr,"Histoire, géographie et culture",CR
Le régime de Vichy a-t-il maintenu la République?,Partiellement,Il l'a suspendue,"Non, il l'a abolie",Oui,c,Le gouvernement abolit la République.,fr,Système institutionnel et politique,Naturalisation
Qui est l'auteur des lois scolaires de 1881-1882?,Jules Ferry,Adolphe Thiers,Emile Combes,Léon Gambetta,a,Grâce aux lois de Jules Ferry.,fr,"Histoire, géographie et culture",CSP
Le Second Empire a duré environ :,25 ans,18 ans,10 ans,50 ans,b,"De 1852 à 1870, soit 18 ans.",fr,"Histoire, géographie et culture",CR
La IIIème République a duré :,Plus de 100 ans,Moins de 50 ans,70 ans,50 ans,c,"De 1870 à 1940, soit 70 ans.",fr,"Histoire, géographie et culture",Naturalisation
Le régime de Vichy a duré :,15 ans,2 ans,4 ans,10 ans,c,"De 1940 à 1944, soit 4 ans.",fr,"Histoire, géographie et culture",CSP
Quel est le statut de l'école publique instauré en 1881?,Obligatoire,Laïque,Payante,Gratuite,d,Elle généralise l'école publique gratuite en 1881.,fr,Vivre dans la société française,CR
Quel est le statut de l'école instauré en 1882?,Payante,Facultative,Laïque et obligatoire,Gratuite,c,Et l'école laïque et obligatoire en 1882.,fr,Vivre dans la société française,Naturalisation
La liberté de la presse sous Vichy était :,Encouragée,Partielle,Supprimée,Totale,c,Liberté de la presse sont supprimés.,fr,Droits et devoirs,CSP
La photo de Philippe Pétain mentionnée le montre en tant que :,Maréchal,Empereur,Général,Président,a,"Sur la droite, une photo du maréchal Philippe Pétain.",fr,"Histoire, géographie et culture",CR
Le Second Empire s'est libéralisé dans quelle décennie?,Les années 1880,Les années 1870,Les années 1850,Les années 1860,d,Avant de se libéraliser dans les années 1860.,fr,"Histoire, géographie et culture",Naturalisation
Quel est le prénom de Gambetta?,Philippe,Adolphe,Léon,Jules,c,Proclamée par Léon Gambetta.,fr,"Histoire, géographie et culture",CSP
Quel est le prénom de Thiers?,Philippe,Adolphe,Jules,Léon,b,Le Gouvernement d'Adolphe Thiers.,fr,"Histoire, géographie et culture",CR
Le droit de vote sous Vichy est :,Supprimé,Universel,Obligatoire,Restreint,a,Droit de vote sont supprimés.,fr,Droits et devoirs,Naturalisation
La Commune de Paris a été réprimée :,Juridiquement,Pacifiquement,Violemment,Politiquement,c,Réprime violemment le mouvement.,fr,"Histoire, géographie et culture",CSP
,,,,,,,,,
question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,language,category,exam_category
Que signifie le sigle GPRF?,Groupement Politique de la République Française,Gouvernement Provisoire de la République Française,Gouvernement Populaire de la République Française,Garde Provisoire de la République Française,b,Le GPRF est le Gouvernement provisoire de la République française.,fr,"Histoire, géographie et culture",Naturalisation
À quelle date le Gouvernement provisoire de la République française est-il mis en place?,27-oct-46,18-juin-40,25-août-44,21-avr-44,c,"Il est mis en place après la Libération, le 25 août 1944.",fr,"Histoire, géographie et culture",CSP
Après quel événement historique le GPRF est-il mis en place en 1944?,La Libération,La Première Guerre mondiale,La guerre d'Algérie,La Révolution française,a,Le GPRF est mis en place après la Libération.,fr,"Histoire, géographie et culture",CR
Quel est l'objectif principal de la mise en place du GPRF?,Organiser de nouvelles élections locales,Rétablir la République,Déclarer la guerre,Créer une monarchie,b,Il est mis en place pour rétablir la République.,fr,"Histoire, géographie et culture",Naturalisation
À quel régime le Gouvernement provisoire met-il fin?,À la IVème République,Au Premier Empire,Au régime de Vichy,À la IIIème République,c,Qu'il met fin au régime de Vichy.,fr,"Histoire, géographie et culture",CSP
"Sur la scène internationale, quel rôle le GPRF joue-t-il après la guerre?",Il isole la France,Il déclare de nouvelles guerres,Il refuse de participer aux traités,Il représente la France dans les négociations de paix,d,Le GPRF représente la France dans les négociations de paix.,fr,"Histoire, géographie et culture",CR
Que réaffirme le GPRF sur la scène internationale?,Le droit de vote,L'empire colonial,La monarchie française,La souveraineté nationale,d,Il réaffirme la souveraineté nationale sur la scène internationale.,fr,Système institutionnel et politique,Naturalisation
"Sur le plan intérieur, quelle action majeure le GPRF lance-t-il après la Seconde Guerre mondiale?",L'exil des opposants,La destruction des anciennes usines,L'arrêt des services publics,La reconstruction du pays,d,Il lance aussi la reconstruction du pays après la Seconde Guerre mondiale.,fr,"Histoire, géographie et culture",CSP
Quels domaines le GPRF cherche-t-il notamment à moderniser pendant la reconstruction?,La culture et les arts exclusivement,Les monuments historiques,"L'économie, les infrastructures et les services publics",L'armée et la flotte uniquement,c,"En modernisant l'économie, les infrastructures et les services publics.",fr,Vivre dans la société française,CR
Quelle grande réforme économique est mise en place par le GPRF?,La suppression de la monnaie,Les nationalisations d'entreprises,La création de nouveaux impôts sur la noblesse,La privatisation des banques,b,Il met en place d'importantes réformes économiques comme les nationalisations d'entreprises.,fr,Système institutionnel et politique,Naturalisation
Quelle importante réforme sociale le GPRF prépare-t-il?,Les congés payés,Le revenu universel,La retraite à 50 ans,La préparation de la sécurité sociale,d,Il met en place la préparation de la sécurité sociale.,fr,Droits et devoirs,CSP
À quelle date le Gouvernement provisoire (GPRF) prend-il fin?,27-oct-46,04-oct-58,25-août-44,02-nov-45,a,Le GPRF prend fin le 27 octobre 1946.,fr,"Histoire, géographie et culture",CR
Quel événement marque la fin du GPRF le 27 octobre 1946?,Le début de la IVème République,Le début de la IIIème République,La fin de la guerre d'Algérie,L'élection de Charles de Gaulle,a,Le GPRF prend fin quand commence la IVème République.,fr,"Histoire, géographie et culture",Naturalisation
Qui est la figure centrale du Gouvernement provisoire de la République française?,Le général Charles de Gaulle,René Coty,Vincent Auriol,Pierre-Henri Teitgen,a,Le général Charles de Gaulle est la figure centrale du GPRF.,fr,"Histoire, géographie et culture",CSP
Jusqu'à quelle date le général Charles de Gaulle dirige-t-il le GPRF?,oct-58,janv-46,oct-46,août-44,b,Il le dirige jusqu'en janvier 1946.,fr,"Histoire, géographie et culture",CR
Qu'incarne Charles de Gaulle à la tête du GPRF?,Le pouvoir législatif absolu,L'instabilité gouvernementale,Le régime de Vichy,L'autorité de l'État et la continuité de la République,d,Il incarne l'autorité de l'État et la continuité de la République.,fr,Principes et valeurs de la République,Naturalisation
"Dans la photographie du 2 novembre 1945, quel était le ministère de Pierre-Henri Teitgen?",Ministre des Affaires étrangères,Ministre de l'Économie,Ministre de la Guerre,Ministre de l'Information,d,Photo du ministre de l'Information Pierre-Henri Teitgen,fr,"Histoire, géographie et culture",CSP
Quel poste occupait Georges Bidault dans la photographie du 2 novembre 1945?,Président de la République,Ministre de l'Information,Ministre des Affaires étrangères,Général des armées,c,...et du ministre des Affaires étrangères Georges Bidault.,fr,"Histoire, géographie et culture",CR
Que montre la photographie datée du 2 novembre 1945 mentionnée?,Un conseil des ministres du GPRF,La signature de la Constitution,La libération de Paris,Une manifestation populaire,a,...photographiés durant un conseil des ministres du Gouvernement provisoire,fr,"Histoire, géographie et culture",Naturalisation
Que retrouvent les citoyens français sous le GPRF avec le rétablissement de la démocratie?,Leur liberté de ne pas payer d'impôts,Leurs droits civiques,Leurs privilèges nobiliaires,Leurs biens confisqués,b,La démocratie est rétablie et les citoyens retrouvent leurs droits civiques.,fr,Droits et devoirs,CSP
Quelle avancée démocratique majeure a eu lieu en avril 1944?,L'élection du président au suffrage direct,Le droit de vote accordé aux femmes,L'abolition de l'esclavage,La création des départements,b,Le droit de vote est accordé aux femmes en avril 1944.,fr,Droits et devoirs,CR
Dans quel but la sécurité sociale est-elle mise en place par le GPRF?,Pour augmenter les impôts,Pour financer la guerre,Pour contrôler la population,Pour renforcer la protection des citoyens et l'égalité sociale,d,...pour renforcer la protection des citoyens et l'égalité sociale.,fr,Droits et devoirs,Naturalisation
Que restaure le GPRF après la Seconde Guerre mondiale?,La légitimité républicaine,L'Empire colonial,La monarchie,Le régime de Vichy,a,Le Gouvernement provisoire restaure la légitimité républicaine,fr,Principes et valeurs de la République,CSP
Quelles institutions le GPRF prépare-t-il?,Les institutions de la Vème République,Le Parlement européen,Le Conseil constitutionnel,Les institutions de la IVème République,d,...et prépare les institutions de la IVème République.,fr,Système institutionnel et politique,CR
Qu'est-ce que le GPRF assure grâce à ses réformes?,La continuité de l'État français,La fin de la démocratie,Le pouvoir absolu du président,L'instabilité du pays,a,"Grâce à ses réformes, il assure la continuité de l'État français",fr,Principes et valeurs de la République,Naturalisation
"Pour les gouvernements suivants, les bases posées par le GPRF servent de :",Loi suprême inchangeable,Contre-exemple,Modèle de dictature,Référence d'un système politique moderne et stable,d,"...pose les bases d'un système politique moderne et stable, qui servira de référence",fr,Système institutionnel et politique,CSP
Quel est l'un des objectifs concernant le GPRF?,Comprendre l'apport de ce régime à notre système actuel,Apprendre les lois de Vichy,Connaître les dates de la Vème République,Lister toutes les entreprises nationalisées,a,Objectifs : Comprendre l'apport des différents régimes politiques à notre système actuel.,fr,Système institutionnel et politique,CR
De quelle période traite la première fiche?,1944-1946,1939-1945,1946-1958,1958-aujourd'hui,a,Le Gouvernement provisoire de la République française (1944-1946).,fr,"Histoire, géographie et culture",Naturalisation
"Parmi les actions du GPRF pour reconstruire le pays, on trouve :",La destruction des routes,La modernisation des infrastructures,La privatisation de l'eau,La fermeture des hôpitaux,b,"...en modernisant l'économie, les infrastructures et les services publics.",fr,Vivre dans la société française,CSP
À quelle date précise la IVème République voit-elle le jour?,21-avr-44,04-oct-58,27-oct-46,25-août-44,c,La IVème République naît le 27 octobre 1946.,fr,"Histoire, géographie et culture",CR
Quel événement majeur précède la naissance de la IVème République?,La guerre d'Algérie,La Première Guerre mondiale,La Seconde Guerre mondiale et la Libération,La chute du mur de Berlin,c,La IVème République naît après la Seconde Guerre mondiale et la Libération.,fr,"Histoire, géographie et culture",Naturalisation
